neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms,minimum_nights,maximum_nights,total_reviews_historicas,total_clicks_acumulados,price
ciudad jardin,2,-1.295454281148449,2.5671581341633845,-0.7425711525133675,-0.4462663485364962,6.810501569317787,-0.3362150483793528,0.0,0,3.044522437723423
palomeras sureste,2,-1.295454281148449,-0.48125855188022465,-0.12799851367586254,-0.4462663485364962,-0.12220774790628951,1.5659401123694134,3.091042453358316,0,4.07753744390572
cruz de humilladero,2,-1.295454281148449,-0.48125855188022465,-1.3571437913508724,-1.1805781213064546,-0.3015019543862225,-1.2372359139971894,4.418840607796598,0,2.9444389791664403
san andrés,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,3.224617439719127,-0.42381429920330915,1.0986122886681098,0,3.4011973816621555
argüelles,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,3.224617439719127,-0.3362150483793528,0.0,0,3.367295829986474
sol,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,1.4914401104131076,-0.3362150483793528,1.9459101490553132,0,3.6888794541139363
embajadores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,2.70805020110221,0,3.4965075614664802
cármenes,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,2.772588722239781,0,3.295836866004329
vinateros,2,-1.295454281148449,-0.48125855188022465,-1.3571437913508724,-1.1805781213064546,-0.2417372188929115,-1.1746650205515063,3.970291913552122,0,3.58351893845611
justicia,2,-1.295454281148449,3.583297029511254,1.7157194028366523,-0.4462663485364962,-0.3015019543862225,-1.2422415854728441,0.0,0,4.060443010546419
arenal,3,-1.295454281148449,-0.48125855188022465,2.330292041674157,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,4.219507705176107,0,4.605170185988092
ciudad jardin,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,1.5659401123694134,1.3862943611198906,0,3.8066624897703196
carretera de cadiz,2,-1.295454281148449,-1.4973974472280942,-0.7425711525133675,-1.914889894076413,-0.3015019543862225,-1.2322302425215348,1.0986122886681098,0,3.8066624897703196
delicias,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,-0.0624430124129785,-1.2247217353080528,3.713572066704308,0,3.8066624897703196
"encarnación, regina",2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-0.3362150483793528,3.8501476017100584,0,3.4657359027997265
embajadores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.1819724833996005,-1.212207556618916,2.302585092994046,0,3.258096538021482
berruguete,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.1819724833996005,-1.0995799484166866,3.4011973816621555,0,4.189654742026425
an roque,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-0.3362150483793528,0.0,0,3.8501476017100584
arcos,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,1.5659401123694134,2.302585092994046,0,4.204692619390966
san juan bautista,2,-1.295454281148449,-1.4973974472280942,-0.7425711525133675,0.2880454242334622,-0.3015019543862225,1.5659401123694134,5.030437921392435,0,3.7612001156935624
"encarnación, regina",2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,-0.2417372188929115,1.5659401123694134,5.225746673713202,0,4.174387269895637
puerta del angel,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.1746650205515063,3.1354942159291497,0,3.6888794541139363
centro,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,0.47543960702682053,-0.3362150483793528,2.1972245773362196,0,4.060443010546419
embajadores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,0.057086458573643514,-1.0244948762818669,4.709530201312334,93,3.5263605246161616
palos de moguer,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,0.8340280199866866,-0.3362150483793528,0.6931471805599453,0,2.995732273553991
carretera de cadiz,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,1.5659401123694134,4.418840607796598,0,3.6888794541139363
castillejos,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,-0.3015019543862225,-1.0995799484166866,3.6635616461296463,0,3.367295829986474
valverde,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-1.1805781213064546,-0.3015019543862225,-0.3362150483793528,3.58351893845611,0,3.4657359027997265
an roque,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.6931471805599453,0,4.110873864173311
berruguete,2,-1.295454281148449,-0.48125855188022465,0.4865741251616424,-0.4462663485364962,-0.2417372188929115,-1.2372359139971894,2.70805020110221,0,3.8501476017100584
